Class Tall Slim Smart
Detective True False False
Detective True True True
Detective True True True
Detective False False True
Detective True False False
Detective False True True
Detective False True True
Detective False False False
Detective False False True
Detective True True True
Detective False True True
Detective True True False
Detective True False False
Detective False False True
Detective True False True
Detective True True True
Detective False False True
Detective False False True
Detective True True True
Detective False True True
Brute True False False
Brute True True False
Brute True False False
Brute True False False
Brute False False False
Brute True False False
Brute True False True
Brute True True False
Brute True False False
Brute True True False
Brute False False False
Brute True False True
Brute True False False
Brute True True False
Brute True False True
Brute False False False
Brute True False False
Brute True False False
Brute True False False
Brute True False True
Brute True False False
Brute True False False
Brute True True False
Brute True False False
Brute True False False
Brute False False False
Brute True False False
Brute True False True
Brute False False False
Brute True False False
