Class Long Sweet Yellow
Banana True True True
Banana True True True
Banana True True False
Banana True True True
Banana True True True
Banana True True False
Banana True True True
Banana True False True
Banana True True True
Banana False True True
Lemon False False True
Lemon False False True
Lemon False False True
Lemon False False True
Lemon False False True
Other True False False
Other False True False
Other True False True
Other False True False
Other False False True
Other True True False
Other False False False
Other True False True
Other False True False
Other True True False
