Class Big Feathers Claws
Dinosaur True False False
Dinosaur False True False
Dinosaur False False True
Dinosaur False True False
Dinosaur True True True
Dinosaur True False False
Dinosaur False True True
Dinosaur False False False
Dinosaur True True False
Dinosaur False False True
Chicken False True False
Chicken False False True
Chicken False True True
Chicken False True True
Chicken False True False
Chicken False True False
Chicken False True True
Chicken False True True
Chicken False True False
Chicken False True False
Chicken False True True
Dragon True True False
Dragon False False False
Dragon False True True
Dragon True False False
Dragon True False True
Dragon False True False
Dragon True False True
Dragon True False True
Dragon True False True
Dragon False False True
